,fill_rate,from_warehouse,kind
480,0.9386486153846153,Avignon,Scenario 3
481,0.9822756923076923,Avignon,Scenario 3
482,0.7630547692307692,Avignon,Scenario 3
483,0.5920849230769231,Avignon,Scenario 3
484,0.868528,Avignon,Scenario 3
485,0.9523138461538464,Cergy,Scenario 3
486,0.9845046153846154,Cergy,Scenario 3
487,0.7916307692307691,Cergy,Scenario 3
488,0.8954486153846154,Cergy,Scenario 3
489,0.9569895384615384,Cergy,Scenario 3
490,0.9408110769230771,Cergy,Scenario 3
491,0.9471679999999999,Cergy,Scenario 3
492,0.9952443076923078,Cergy,Scenario 3
493,0.9942227692307694,Cergy,Scenario 3
494,0.9611520000000001,Cergy,Scenario 3
495,0.992932923076923,Montauban,Scenario 3
496,0.9050067692307691,Montauban,Scenario 3
497,0.42261415384615386,Montauban,Scenario 3
498,0.8919901538461538,Épinal,Scenario 3
499,0.9430215384615384,Épinal,Scenario 3
500,0.9170707692307692,Épinal,Scenario 3
501,0.7857526153846155,Épinal,Scenario 3
502,0.9294350769230769,Rennes,Scenario 3
503,0.972128,Rennes,Scenario 3
504,0.8962916923076923,Rennes,Scenario 3
505,0.3269378461538462,Rennes,Scenario 3
506,0.8426473846153847,Avignon,Scenario 3
507,0.9511384615384616,Avignon,Scenario 3
508,0.9332959999999999,Avignon,Scenario 3
509,0.7284233846153846,Avignon,Scenario 3
510,0.5748307692307694,Avignon,Scenario 3
511,0.6413981538461538,Avignon,Scenario 3
512,0.13363076923076922,Cergy,Scenario 3
513,0.9582670769230771,Cergy,Scenario 3
514,0.8714879999999999,Cergy,Scenario 3
515,1.0004073846153847,Cergy,Scenario 3
516,0.9410498461538462,Cergy,Scenario 3
517,0.9722387692307692,Cergy,Scenario 3
518,0.9104553846153847,Cergy,Scenario 3
519,0.991776,Cergy,Scenario 3
520,0.00044307692307692304,Cergy,Scenario 3
521,0.9688073846153845,Cergy,Scenario 3
522,0.998116923076923,Cergy,Scenario 3
523,0.9317206153846153,Cergy,Scenario 3
524,0.9953624615384615,Cergy,Scenario 3
525,0.9220393846153846,Montauban,Scenario 3
526,0.8627113846153845,Montauban,Scenario 3
527,0.8607913846153846,Montauban,Scenario 3
528,0.8335716923076923,Épinal,Scenario 3
529,0.6240886153846154,Épinal,Scenario 3
530,0.8643716923076924,Épinal,Scenario 3
531,0.9768861538461536,Rennes,Scenario 3
532,0.8805895384615384,Rennes,Scenario 3
533,0.9740480000000002,Rennes,Scenario 3
534,0.7967643076923077,Avignon,Scenario 3
535,0.6715150769230769,Avignon,Scenario 3
536,0.872128,Avignon,Scenario 3
537,0.9070646153846156,Avignon,Scenario 3
538,0.857056,Avignon,Scenario 3
539,0.9237858461538461,Avignon,Scenario 3
540,0.8746104615384616,Avignon,Scenario 3
541,0.9596849230769233,Cergy,Scenario 3
542,0.9544639999999999,Cergy,Scenario 3
543,0.975643076923077,Cergy,Scenario 3
544,0.7056947692307693,Cergy,Scenario 3
545,0.8964775384615383,Cergy,Scenario 3
546,0.9827864615384615,Cergy,Scenario 3
547,0.9003864615384616,Cergy,Scenario 3
548,0.9260676923076923,Cergy,Scenario 3
549,0.9773021538461538,Cergy,Scenario 3
550,0.9995593846153846,Cergy,Scenario 3
551,0.9570326153846154,Cergy,Scenario 3
552,0.7278941538461539,Cergy,Scenario 3
553,0.9890916923076924,Montauban,Scenario 3
554,0.8722486153846155,Montauban,Scenario 3
555,0.31975876923076924,Montauban,Scenario 3
556,0.9716603076923077,Épinal,Scenario 3
557,0.6616615384615384,Épinal,Scenario 3
558,0.44980923076923074,Épinal,Scenario 3
559,0.755435076923077,Épinal,Scenario 3
560,0.9387323076923075,Épinal,Scenario 3
561,0.8804861538461539,Épinal,Scenario 3
562,0.47786707692307695,Rennes,Scenario 3
563,0.9820184615384615,Rennes,Scenario 3
564,0.9480886153846152,Rennes,Scenario 3
565,0.9438843076923076,Avignon,Scenario 3
566,0.7887950769230769,Avignon,Scenario 3
567,0.9372590769230769,Avignon,Scenario 3
568,0.8002596923076923,Avignon,Scenario 3
569,0.9737206153846156,Avignon,Scenario 3
570,0.8276923076923077,Avignon,Scenario 3
571,0.8728750769230769,Avignon,Scenario 3
572,0.6482609230769231,Avignon,Scenario 3
573,0.48892307692307696,Avignon,Scenario 3
574,0.9012479999999999,Cergy,Scenario 3
575,0.9836233846153848,Cergy,Scenario 3
576,0.9964824615384617,Cergy,Scenario 3
577,0.6986535384615383,Cergy,Scenario 3
